,index,nom_depute,ministere_interrogem,date_publication,question
0,1,M. Jean-Hugues Ratenon,Économie et finances,05/12/2017,"M. Jean-Hugues Ratenon alerte M. le ministre de l'économie et des finances sur la question des tarifs des colis postaux échangés entre l'outre-mer et l'Hexagone. Dans quelques semaines ce seront les fêtes de la fin de l'année 2017. Entre 900 000 et 1 million d'ultramarins vivant et travaillant dans l'Hexagone ont l'habitude de recevoir des colis de leurs proches ou de leurs amis, comme une façon de garder le contact avec leurs territoires à travers les produits locaux envoyés par les familles. Pour La Réunion, c'est le letchi, les mangues, les ananas, ou encore les saucisses, le boucané, et évidemment le piment ! Le tout arrosé d'un vin Cilaos ou de punch. Or les Français sont victimes d'une grande injustice, d'un véritable scandale. En effet, alors que l'envoi d'un colis d'un kilo entre les départements de l'Hexagone coute 7,50 euros, il revient à 13,90 euros ou 16,60 euros de l'outre-mer vers la métropole. Et si c'est un colis de 10 kilos l'écart est encore plus flagrant : 18,90 euros pour la France métropolitaine ; 45,50 euros ou 96 euros pour l'outre-mer. Il est inacceptable - voire illégal - que les ultramarins soient traités comme des français de seconde zone. Pourquoi la péréquation tarifaire qui existe en métropole n'existe-t-elle pas en outre-mer, comme c'est le cas pour EDF ? Il lui rappelle que selon les règles européennes et selon les critères d'exercice de la mission de La Poste, tous les points du territoire national doivent être traités à égalité. Alors que l'État et La Poste sont en train de finaliser le contrat d'entreprise qui les lie autour des missions de service public de La Poste, de ses objectifs de qualité de service et compensations financières qui peuvent en découler. Il l'interroge sur sa volonté ou non de mettre fin à cette différence de traitement et, le cas échéant, dans quel délai."
1,2,Mme Clémentine Autain,Transition écologique et solidaire,05/12/2017,"Mme Clémentine Autain interroge M. le ministre d'État, ministre de la transition écologique et solidaire, sur la situation du Triangle de Gonesse. Cet espace naturel est aujourd'hui menacé par un mégaprojet de 3,1 milliards d'euros, porté par les groupes Auchan et Wanda. L'opération nécessitera l'artificialisation de 300 hectares sur les 700 que compte actuellement cette zone, dont 80 hectares rien que pour le projet Europacity, vaste complexe touristico-commercial. L'inquiétude est grande pour l'avenir du Triangle de Gonesse, une zone qui regorge de terres agricoles au rendement exceptionnel. Alors que la demande locale pour une alimentation de proximité n'a jamais été aussi grande, l'Île-de-France perd chaque année près de 1 400 hectares de terres agricoles par an, et ce depuis 10 ans. En juillet, M. le ministre jugeait que ce projet n'était pas compatible avec le plan climat. En août 2017, le commissaire-enquêteur en charge de l'enquête publique sur la révision du PLU de Gonesse rendait lui aussi un avis défavorable, estimant qu'il n'était pas compatible avec la notion de développement durable. D'autres solutions existent, comme le projet Carma (coopération pour une ambition rurale métropolitaine et agricole), en phase avec les objectifs de la France en termes de transition écologique. Sur les 700 hectares du Triangle de Gonesse, il prévoit notamment une ferme maraîchère, un « farm lab » pour former aux métiers agricoles ou encore un centre de recherche sur l'agriculture urbaine et périurbaine. Il est temps de sortir de la folie des grandeurs. Elle lui demande de respecter ses engagements et de protéger le Triangle de Gonesse."
2,3,M. Hubert Wulfranc,Transports,05/12/2017,"M. Hubert Wulfranc interroge Mme la ministre, auprès du ministre d'État, ministre de la transition écologique et solidaire, chargée des transports, sur la déclaration d'utilité publique rendue par le Gouvernement sur le projet de contournement autoroutier de Rouen par l'est. Il conteste le rapport coût financier / bénéfices / nuisances du projet validé par le Gouvernement. Le coût global du projet est sous-évalué, la participation de l'État demeure incertaine, le décongestionnement de l'hypercentre de l'agglomération rouennaise n'est pas assuré, une accumulation de risques sanitaires, de nuisances sonores et environnementales est avérée sur certains points critiques du parcours notamment en zone urbaine, un projet répondant aux seuls intérêts des transporteurs routiers alors qu'il sera financé par les contribuables locaux qui ne bénéficieront pas d'une réelle amélioration de la circulation du fait de la présence d'un péage dissuasif. Il lui demande de ne pas donner suite à ce projet d'infrastructure anachronique à l'heure de la transition écologique."
3,4,M. Alain Bruneel,Solidarités et santé,05/12/2017,M. Alain Bruneel attire l'attention de Mme la ministre des solidarités et de la santé sur la situation financière de l'hôpital de Douai dont la dette a récemment explosé. Il lui demande une réponse claire sur la possibilité de débloquer une enveloppe financière d'urgence dans la perspective d'un plan de rattrapage prenant en compte la situation financière compliquée de l'établissement mais également les besoins de santé importants du territoire.
4,5,Mme Lise Magnier,Armées,05/12/2017,"Mme Lise Magnier attire l'attention de Mme la ministre des armées sur le service militaire volontaire. Le service militaire volontaire (SMV) a été lancé pour expérimentation sur le territoire métropolitain. Il a pour objectif de former des jeunes de 18 à 25 ans pendant huit mois. Ce dispositif, qui devrait être renouvelé après 2018, permet d'accompagner des jeunes qui le souhaitent en leur ouvrant les portes du monde professionnel avec une formation supplémentaire à la vie militaire et au permis de conduire. Pour une promotion d'une centaine de jeunes, vingt-sept militaires, un professeur à plein temps ainsi que des intervenants extérieurs sont mobilisés. À l'heure des premiers bilans, il s'avère que ce dispositif remplit totalement ses objectifs de formation et d'insertion pour ces jeunes. Elle lui demande quel avenir le Gouvernement a prévu pour le service militaire volontaire et l'articulation avec le projet de service national universel."
5,6,M. Thierry Benoit,Éducation nationale,05/12/2017,"M. Thierry Benoit attire l'attention de M. le ministre de l'éducation nationale sur l'avenir de l'enseignement du gallo, langue romane de Bretagne. Cette langue est parlée en Haute-Bretagne, partie orientale de la région et a été reconnue à l'unanimité comme étant l'une des deux langues régionales de Bretagne par le conseil régional de Bretagne en 2004. Elle est aujourd'hui parlée par 200 000 personnes qui, à travers son utilisation, participent à faire vivre l'histoire, la culture et le patrimoine de la Bretagne et de la France. Depuis 1983, le gallo bénéficie d'une option au baccalauréat. Il est également enseigné officiellement à l'université, au lycée et au collège, par des enseignants déjà en poste dans différentes spécialités et parlant le gallo. Pourtant, l'enseignement de cette langue vivante est aujourd'hui en péril puisque ces enseignants atteignent l'âge de la retraite et que l'éducation nationale n'a jamais mis en place de formation initiale pour former de nouveaux enseignants capables d'assurer cette option et ces enseignements. Pour faire face à cette situation critique qui aboutira inéluctablement à la disparition du gallo, il lui demande si le Gouvernement compte mettre en place une formation des enseignants de gallo, qui pourrait se traduire par la mise en place d'un module de formation à l'École supérieure du professorat et de l'éducation de Bretagne (sous l'égide de l'éducation nationale) ou par la création d'un CAPES de Gallo."
6,7,M. Paul Christophe,Solidarités et santé,05/12/2017,"M. Paul Christophe interroge Mme la ministre des solidarités et de la santé sur les conséquences de l'arrêté du 12 juillet 2017 portant modification des exonérations à la réglementation des substances vénéneuses. Cette décision visait à restreindre l'usage de la codéine par des jeunes dans des cocktails récréatifs, dits « Purple drank ». En réalité, elle a privé le conseil officinal de médicaments à base de codéine, en soumettant leur dispensation à une prescription médicale obligatoire. Cette décision pose la question de la place du pharmacien dans la bonne dispensation des médicaments sans ordonnance. Si beaucoup de médicaments relèvent de la prescription médicale, certains peuvent en effet être dispensés sur le conseil du pharmacien et répondent à une demande des patients pour des pathologies mineures, sans nécessité d'une consultation médicale. Le re-listage massif de médicaments conseils utiles aux patients restreint, un peu plus, le champ d'action des pharmaciens et tend à dévaloriser leur rôle de conseil. Très récemment, l'Ordre national des pharmaciens a proposé la création d'une catégorie des médicaments « de prescription pharmaceutique », sur le modèle pratiqué en Suisse ou au Canada. Il souhaiterait savoir quelles suites elle envisage de donner à cette proposition. Plus largement, il lui demande de lui indiquer les mesures qu'elle prendra pour revaloriser le rôle de conseil du pharmacien."
7,8,M. Fabrice Brun,Solidarités et santé,05/12/2017,"M. Fabrice Brun attire l'attention de Mme la ministre des solidarités et de la santé sur l'avenir du centre hospitalier d'Aubenas. L'égalité d'accès aux soins pour tous, en tout point du territoire, est un défi partagé. La loi n° 2016-41 du 26 janvier 2016 de modernisation de notre système de santé a créé les groupements hospitaliers de territoire (GHT), qui ont pour conséquence la mise sous tutelle des centres hospitaliers non support. Ces centres hospitaliers s'inquiètent d'une perte d'autonomie évidente et des conséquences de la convergence annoncée des moyens vers les hôpitaux supports des GHT. Tel est le cas de l'hôpital d'Aubenas puisque l'hôpital support est le centre hospitalier de Montélimar dans le département voisin de la Drôme ! Ce qui importe dans un premier temps, au regard des besoins et des attentes de la population, c'est d'une part de maintenir les activités actuelles sur le centre hospitalier d'Aubenas, et d'autre part de faire évoluer la législation sur les GHT afin de permettre aux établissements parties à un groupement qui ont la gestion d'un équipement lourd ou d'une activité spécifique de pouvoir gérer par délégation un pôle inter-établissements dans le cadre d'avenants aux conventions GHT."
8,9,M. Jean-Pierre Vigier,Cohésion des territoires,05/12/2017,"M. Jean-Pierre Vigier attire l'attention de M. le ministre de la cohésion des territoires sur le déploiement de la couverture numérique du territoire, en particulier dans les zones rurales. Afin de mettre fin à l'injuste fracture territoriale dont sont victimes les habitants des zones rurales, la couverture numérique de l'ensemble du territoire est une urgence absolue. Afin de respecter l'engagement du Président de la République d'assurer à 100 % de la population française une couverture haut débit et très haut débit d'ici fin 2020, le Gouvernement mène actuellement des discussions avec les opérateurs afin d'obtenir de nouveaux engagements de couverture. Il souhaite lui demander l'état d'avancement de ces discussions avec les opérateurs concernant l'installation de pylônes en milieu rural, notamment dans le département de la Haute-Loire. Il souhaite également lui demander quelles dispositions seront prises en cas d'absence d'accord avec les opérateurs afin de les obliger à remplir cette mission essentielle pour les Français."
9,10,M. Jean-Yves Bony,Agriculture et alimentation,05/12/2017,"M. Jean-Yves Bony appelle l'attention de M. le ministre de l'agriculture et de l'alimentation sur l'accord de libre-échange entre l'UE et le Mercosur envisagé dès la fin de l'année 2017 et qui pourrait acter l'ouverture du marché européen à plus de 100 000 tonnes de viandes bovines sud-américaines. Le Mercosur, un traité de libre-échange entre l'Union européenne et l'Argentine, le Brésil, l'Uruguay et le Paraguay, en négociation depuis 18 ans pourrait être signé prochainement. La profession s'inquiète car ce traité va permettre l'importation en France de viandes bovines venues notamment du Brésil où les conditions d'élevage et d'abattage des bœufs posent problème. Force est de constater que la signature du CETA et du Mercosur risque de causer la disparition de 20 000 à 30 000 éleveurs français. Il lui demande de lui indiquer les mesures que le Gouvernement entend prendre pour préserver les exploitations, les emplois et le modèle de production afin d'éviter qu'avec ce nouvel accord UE-Mercosur, l'Europe ne fixe le cap vers la disparition de l'élevage bovin. Par ailleurs il lui demande s'il entend mettre en place une nouvelle commission d'experts chargée d'évaluer les conséquences d'un accord entre l'UE et le Mercosur sur l'élevage bovin, la santé et l'environnement."
